name,owner,stars,age_days,merged_prs,total_releases,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio,url,description
yt-dlp,yt-dlp,123488,1762,2909,118,0,Python,9780,8184,83.68098159509204,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader
PowerToys,microsoft,122503,2305,5663,117,0,C#,34577,27576,79.75243659079734,https://github.com/microsoft/PowerToys,Windows system utilities to maximize productivity
electron,electron,118002,4516,23274,1000,0,C++,21050,20295,96.41330166270784,https://github.com/electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
kubernetes,kubernetes,117031,4095,62232,755,0,Go,47701,45786,95.9854091109201,https://github.com/kubernetes/kubernetes,Production-Grade Container Scheduling and Management
hello-algo,krahets,115685,1023,945,9,0,Java,270,258,95.55555555555556,https://github.com/krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation"
free-programming-books-zh_CN,justjavac,115044,4310,282,3,0,Unknown,0,0,0,https://github.com/justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿
langchain,langchain-ai,114070,1041,14493,948,0,Jupyter Notebook,8645,8433,97.54771544245229,https://github.com/langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications 🦜🔗
node,nodejs,112892,3922,10768,455,0,JavaScript,19464,17743,91.15803534730786,https://github.com/nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨
dify,langgenius,111817,864,7076,140,0,TypeScript,12616,11926,94.53075459733672,https://github.com/langgenius/dify,Production-ready platform for agentic workflow development.
d3,d3,111336,5443,493,194,0,Shell,2229,2220,99.59623149394348,https://github.com/d3/d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
free-for-dev,ripienaar,110703,3810,2762,0,0,HTML,0,0,0,https://github.com/ripienaar/free-for-dev,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev"
three.js,mrdoob,108238,5631,14404,171,0,JavaScript,13179,12728,96.57788906593824,https://github.com/mrdoob/three.js,JavaScript 3D Library.
open-webui,open-webui,107631,686,2513,122,0,JavaScript,6191,5979,96.57567436601518,https://github.com/open-webui/open-webui,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
axios,axios,107448,4022,1001,97,0,JavaScript,4844,4607,95.10734929810074,https://github.com/axios/axios,Promise based HTTP client for the browser and node.js
rust,rust-lang,105977,5546,65683,140,0,Rust,59254,48622,82.0569075505451,https://github.com/rust-lang/rust,Empowering everyone to build reliable and efficient software.
excalidraw,excalidraw,105848,2060,3702,14,0,TypeScript,4244,2405,56.66823751178134,https://github.com/excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams
TypeScript,microsoft,105683,4085,14675,212,0,TypeScript,42458,36872,86.84346883979462,https://github.com/microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.
langflow,langflow-ai,104799,926,4632,262,0,Python,2701,2260,83.6727138097001,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
deno,denoland,103998,2657,13347,342,0,Rust,13183,10913,82.78085413031934,https://github.com/denoland/deno,A modern runtime for JavaScript and TypeScript.
nodebestpractices,goldbergyoni,103982,2899,765,0,0,Dockerfile,328,285,86.89024390243902,https://github.com/goldbergyoni/nodebestpractices,:white_check_mark:  The Node.js best practices list (July 2024)
create-react-app,facebook,103458,3324,1949,83,0,JavaScript,8402,6567,78.15996191383005,https://github.com/facebook/create-react-app,Set up a modern web app by running one command.
GitHub-Chinese-Top-Charts,GrowingGit,101423,2179,0,0,0,Java,340,161,47.35294117647059,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
godot,godotengine,100517,4249,38721,61,0,C++,58140,46038,79.18472652218782,https://github.com/godotengine/godot,Godot Engine – Multi-platform 2D and 3D game engine
terminal,microsoft,99305,2933,4189,136,0,C++,13462,11867,88.15183479423563,https://github.com/microsoft/terminal,"The new Windows Terminal and the original Windows console host, all in the same place!"
DeepSeek-V3,deepseek-ai,98896,240,21,1,0,Python,589,559,94.90662139219015,https://github.com/deepseek-ai/DeepSeek-V3,
angular,angular,98527,3992,3894,471,0,TypeScript,29482,28136,95.4345024082491,https://github.com/angular/angular,Deliver web apps with confidence 🚀
frp,fatedier,97750,3533,683,106,0,Go,3904,3845,98.48872950819673,https://github.com/fatedier/frp,A fast reverse proxy to help you expose a local server behind a NAT or firewall to the internet.
papers-we-love,papers-we-love,97408,4269,437,0,0,Shell,246,245,99.59349593495935,https://github.com/papers-we-love/papers-we-love,Papers from the computer science community to read and discuss.
Awesome-Hacking,Hack-with-Github,96687,3433,34,0,0,Unknown,0,0,0,https://github.com/Hack-with-Github/Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers"
iptv,iptv-org,96472,2473,6671,0,0,TypeScript,14868,14409,96.91283292978208,https://github.com/iptv-org/iptv,Collection of publicly available IPTV channels from all over the world
material-ui,mui,96446,4022,20808,547,0,TypeScript,20167,18553,91.99682649873556,https://github.com/mui/material-ui,Material UI: Comprehensive React component library that implements Google's Material Design. Free forever.
rustdesk,rustdesk,96216,1790,3638,31,0,Rust,3595,3540,98.47009735744089,https://github.com/rustdesk/rustdesk,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
tauri,tauri-apps,95859,2233,5167,1000,0,Rust,5774,4645,80.44683062002078,https://github.com/tauri-apps/tauri,"Build smaller, faster, and more secure desktop and mobile applications with a web frontend."
ant-design,ant-design,95748,3774,15776,714,0,TypeScript,31628,30400,96.11736436069306,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library
generative-ai-for-beginners,microsoft,95398,796,388,0,0,Jupyter Notebook,176,166,94.31818181818183,https://github.com/microsoft/generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI "
thefuck,nvbn,93657,3790,481,17,0,Python,760,472,62.10526315789474,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.
clean-code-javascript,ryanmcdermott,93621,3192,149,0,0,JavaScript,235,163,69.36170212765957,https://github.com/ryanmcdermott/clean-code-javascript,Clean Code concepts adapted for JavaScript
ui,shadcn-ui,93497,962,636,52,0,TypeScript,3349,2380,71.06598984771574,https://github.com/shadcn-ui/ui,"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code."
HowToCook,Anduin2017,92751,2002,586,4,0,Dockerfile,782,346,44.24552429667519,https://github.com/Anduin2017/HowToCook,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
pytorch,pytorch,92618,3297,6193,61,0,Python,53279,37752,70.85718575799095,https://github.com/pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration
java-design-patterns,iluwatar,92556,4032,1507,0,0,Java,959,830,86.54848800834203,https://github.com/iluwatar/java-design-patterns,Design patterns implemented in Java
neovim,neovim,92176,4222,16150,45,0,Vim Script,13128,11479,87.43906154783669,https://github.com/neovim/neovim,Vim-fork focused on extensibility and usability
puppeteer,puppeteer,92150,3027,5424,560,0,TypeScript,7221,6955,96.31629968148457,https://github.com/puppeteer/puppeteer,JavaScript API for Chrome and Firefox
Web-Dev-For-Beginners,microsoft,91531,1747,517,0,0,JavaScript,331,243,73.41389728096676,https://github.com/microsoft/Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
DeepSeek-R1,deepseek-ai,90968,215,9,1,0,Unknown,631,592,93.81933438985737,https://github.com/deepseek-ai/DeepSeek-R1,
vue-element-admin,PanJiaChen,89802,3050,311,49,0,Vue,3609,2357,65.30894984760322,https://github.com/PanJiaChen/vue-element-admin,:tada: A magical vue admin                                                                https://panjiachen.github.io/vue-element-admin
tailwindcss,tailwindlabs,89743,2878,3072,290,0,TypeScript,4544,4464,98.23943661971832,https://github.com/tailwindlabs/tailwindcss,A utility-first CSS framework for rapid UI development.
fastapi,fastapi,88688,2450,2738,208,0,Python,3466,3417,98.5862665897288,https://github.com/fastapi/fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
every-programmer-should-know,mtdvio,87908,2921,99,0,0,Unknown,52,23,44.230769230769226,https://github.com/mtdvio/every-programmer-should-know,A collection of (mostly) technical things every software developer should know about
storybook,storybookjs,87581,3445,11483,1000,0,TypeScript,13696,11618,84.82768691588785,https://github.com/storybookjs/storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation"
awesome-mac,jaywcjlove,87542,3324,991,12,0,JavaScript,481,367,76.29937629937629,https://github.com/jaywcjlove/awesome-mac," Now we have become very big, Different from the original idea. Collect premium software in various categories."
supabase,supabase,87541,2142,12948,22,0,TypeScript,4663,4440,95.21767102723568,https://github.com/supabase/supabase,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications."
whisper,openai,87101,1071,119,13,0,Python,0,0,0,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision
nvm,nvm-sh,86528,5608,729,70,0,Shell,2315,1999,86.3498920086393,https://github.com/nvm-sh/nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions
ComfyUI,comfyanonymous,86380,949,1209,73,0,Python,6208,3677,59.23002577319587,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface."
